country,k_thr,tau,total_segments,rf_deprived_segments,mn_deprived_segments,rf_deprived_pop,mn_deprived_pop,total_pop
guinea_bissau,5,0.2,549,1,18,664.085087043,56855.000070377,780204.450061094
guinea,5,0.2,3587,1013,172,1119291.325451435,349312.86868369195,5008076.957590911
kenya,5,0.2,6162,2403,305,4411101.836341731,1124415.02095377,10892339.03186487
lesotho,5,0.2,224,2,0,2128.876881538,0.0,234325.79196567798
liberia,5,0.2,876,39,90,84988.08418611203,270704.261628562,2216567.2099406663
madagascar,5,0.2,872,459,234,2253745.715725423,1571613.462082346,3833274.618120391
malawi,5,0.2,1727,972,145,1353082.9660366122,402185.634982614,2369040.752047225
mali,5,0.2,5920,1871,45,1607600.8857251909,72255.36108203801,5960716.49871718
mauritania,5,0.2,1828,566,2,502698.12127523404,2404.941388613,1706446.892726493
mauritius,5,0.2,447,2,3,1277.671871593,3376.4380348289997,561324.3734052279
mozambique,5,0.2,6041,2735,363,3571108.1722807838,1004034.397420544,7310755.477268714
namibia,5,0.2,347,197,11,240510.651151803,13455.401729270998,405575.736074747
niger,5,0.2,4747,3063,96,2531256.9318163916,216993.49059798702,4622590.486370739
nigeria,5,0.2,64327,10458,3228,12419246.35713979,10587194.697995942,91597687.98445147
republic_of_congo,5,0.2,3955,2916,6,2402355.444241871,10671.434302581001,4109466.966085707
rwanda,5,0.2,1270,334,129,478248.34593383403,281606.287783486,1649343.029407573
senegal,5,0.2,8269,2899,18,2484589.811036333,21232.16530938,8346712.434245584
sierra_leone,5,0.2,1334,345,115,913219.462735249,1064418.180314169,3190790.4146762565
somalia,5,0.2,7648,5285,74,5402030.855397178,251136.326728155,8295293.609712728
south_africa,5,0.2,27136,12318,469,12148012.599995438,642729.629204225,30289706.70029247
south_sudan,5,0.2,833,499,86,569345.035959706,142397.39543217703,984642.965601156
sudan,5,0.2,16340,10460,71,8821698.496891912,227167.97980696202,15147905.022114929
tanzania,5,0.2,9739,3481,694,6658691.269839512,1853211.4706805681,14983633.215272397
togo,5,0.2,3041,645,55,621007.888738542,151218.40833125898,3367055.130280057
uganda,5,0.2,4645,1612,422,2156964.525660353,907730.7557020339,6399543.600518564
zambia,5,0.2,6357,1677,223,1833037.626412265,494039.68595883297,7472185.76578634
zimbabwe,5,0.2,2768,282,18,260893.761653757,20566.423256357,3101648.1956995917
angola,5,0.3,16222,7429,883,9490744.786406256,2721795.372662344,20650829.648216836
cameroon,5,0.3,10141,3222,378,4300646.212809186,882015.3169223891,15198621.01101642
benin,5,0.3,4612,498,85,398578.99227366,107159.54370168802,4673285.7469121665
burkina_faso,5,0.3,5322,3312,48,3014083.1182127493,51140.56557715,5103500.920221765
botswana,5,0.3,507,27,0,23446.048594085,0.0,549454.002392059
burundi,5,0.3,1348,582,38,624197.862321557,73672.233957461,1714038.352422793
central_african_republic,5,0.3,868,491,147,989593.631405213,613019.979159835,1601841.313697086
chad,5,0.3,3716,712,56,619282.656271341,146230.03617747,3661678.152726385
ghana,5,0.3,12130,1144,410,1518667.515258712,890411.916376882,15943320.202505251
gambia,5,0.3,1505,40,1,27782.571619514998,547.957329707,1446656.488261111
comoros,5,0.3,220,138,23,156892.55495845797,75556.285900629,394719.234936952
djibouti,5,0.3,301,155,6,166737.79081241498,11305.495280451,420632.270088937
cote_d_ivoire,5,0.3,8162,2167,148,2345349.917980085,538851.755564566,10639014.760486715
gabon,5,0.3,356,42,65,73910.783703347,265843.566231973,745404.3793945231
democratic_republic_of_the_congo,5,0.3,31029,15533,943,18324953.302096408,5020830.581570889,43591738.808713526
equatorial_guinea,5,0.3,491,72,68,241243.395520473,437644.0876068811,1182009.9697834991
ethiopia,5,0.3,12094,4702,171,5186117.37230921,470575.25512475404,14999047.86558796
eritrea,5,0.3,243,49,0,47789.151316098,0.0,253661.679412561
guinea_bissau,5,0.3,549,1,11,664.085087043,29164.389219347,780204.450061094
guinea,5,0.3,3587,1013,119,1119291.325451435,251722.12192668198,5008076.957590911
kenya,5,0.3,6162,2403,263,4411101.836341731,923977.6801967231,10892339.03186487
lesotho,5,0.3,224,2,0,2128.876881538,0.0,234325.79196567798
liberia,5,0.3,876,39,77,84988.08418611203,234243.55007327505,2216567.2099406663
madagascar,5,0.3,872,459,202,2253745.715725423,1429305.032229206,3833274.618120391
malawi,5,0.3,1727,972,112,1353082.9660366122,301520.785256377,2369040.752047225
mali,5,0.3,5920,1871,21,1607600.8857251909,48051.760597818,5960716.49871718
mauritania,5,0.3,1828,566,2,502698.12127523404,2404.941388613,1706446.892726493
mauritius,5,0.3,447,2,3,1277.671871593,3376.4380348289997,561324.3734052279
mozambique,5,0.3,6041,2735,288,3571108.1722807838,800413.063049027,7310755.477268714
namibia,5,0.3,347,197,9,240510.651151803,8940.550812941001,405575.736074747
niger,5,0.3,4747,3063,80,2531256.9318163916,195799.48331773403,4622590.486370739
nigeria,5,0.3,64327,10458,2704,12419246.35713979,9165070.512637723,91597687.98445147
republic_of_congo,5,0.3,3955,2916,4,2402355.444241871,4126.908785091,4109466.966085707
rwanda,5,0.3,1270,334,105,478248.34593383403,232930.015122129,1649343.029407573
senegal,5,0.3,8269,2899,12,2484589.811036333,14315.026835293,8346712.434245584
sierra_leone,5,0.3,1334,345,103,913219.462735249,982159.4101422831,3190790.4146762565
somalia,5,0.3,7648,5285,61,5402030.855397178,221664.2429636,8295293.609712728
south_africa,5,0.3,27136,12318,314,12148012.599995438,442737.13418693596,30289706.70029247
south_sudan,5,0.3,833,499,77,569345.035959706,118196.454284986,984642.965601156
sudan,5,0.3,16340,10460,61,8821698.496891912,203400.38964857702,15147905.022114929
tanzania,5,0.3,9739,3481,537,6658691.269839512,1403783.8103954769,14983633.215272397
togo,5,0.3,3041,645,44,621007.888738542,126806.27769297201,3367055.130280057
uganda,5,0.3,4645,1612,346,2156964.525660353,706863.814853161,6399543.600518564
zambia,5,0.3,6357,1677,167,1833037.626412265,382294.833039397,7472185.76578634
zimbabwe,5,0.3,2768,282,13,260893.761653757,14384.456901950001,3101648.1956995917
Overall,3,0.1,300256,106849,89377,122398814.46933538,158655061.3793743,387606308.1170753
Overall,3,0.2,300256,106849,70051,122398814.46933538,116194762.59516375,387606308.1170753
Overall,3,0.3,300256,106849,54491,122398814.46933538,89620479.79462901,387606308.1170753
Overall,5,0.1,300256,106849,14575,122398814.46933538,46993246.90980453,387606308.1170753
Overall,5,0.2,300256,106849,11305,122398814.46933538,36157690.82934143,387606308.1170753
Overall,5,0.3,300256,106849,9205,122398814.46933538,30554253.032737218,387606308.1170753
